Trade Date,Instrument,Symbol,Expiry Date,Open Price,High Price,Low Price,Close Price,Daily Settlement Price,Open Interest(OI),No. of Contracts,Turnover ( Rs.)
28-Feb-20,FUTENR,BRCRUDE,28-02-2020,3678,3678,3678,3678,3643,38,1,0.04
28-Feb-20,FUTENR,BRCRUDE,31-03-2020,3628,3679,3598,3629,3701,57,110,4.02
27-Feb-20,FUTENR,BRCRUDE,28-02-2020,3775,3775,3663,3678,3742,38,4,0.15
27-Feb-20,FUTENR,BRCRUDE,31-03-2020,3748,3770,3642,3690,3760,11,36,1.33
26-Feb-20,FUTENR,BRCRUDE,28-02-2020,3963,3963,3875,3875,3880,39,34,1.34
26-Feb-20,FUTENR,BRCRUDE,31-03-2020,3854,3854,3847,3847,3898,0,20,0.77
25-Feb-20,FUTENR,BRCRUDE,28-02-2020,4062,4073,3988,3992,4043,39,57,2.31
24-Feb-20,FUTENR,BRCRUDE,28-02-2020,4102,4107,4026,4040,4053,54,89,3.62
21-Feb-20,FUTENR,BRCRUDE,28-02-2020,4194,4204,4173,4195,4187,40,14,0.59
20-Feb-20,FUTENR,BRCRUDE,28-02-2020,4251,4310,4236,4276,4258,42,63,2.69
19-Feb-20,FUTENR,BRCRUDE,28-02-2020,4176,4207,4156,4184,4192,61,47,1.96
18-Feb-20,FUTENR,BRCRUDE,28-02-2020,4076,4110,4039,4070,4053,60,55,2.24
17-Feb-20,FUTENR,BRCRUDE,28-02-2020,4094,4108,4085,4108,4105,40,49,2.01
14-Feb-20,FUTENR,BRCRUDE,28-02-2020,4032,4098,4030,4083,4083,50,35,1.42
13-Feb-20,FUTENR,BRCRUDE,28-02-2020,3994,4027,3941,4001,3966,40,79,3.15
12-Feb-20,FUTENR,BRCRUDE,28-02-2020,3921,4013,3918,3997,3948,41,82,3.25
11-Feb-20,FUTENR,BRCRUDE,28-02-2020,3851,3895,3838,3894,3881,54,96,3.72
10-Feb-20,FUTENR,BRCRUDE,28-02-2020,3895,3897,3850,3850,3887,54,55,2.13
07-Feb-20,FUTENR,BRCRUDE,28-02-2020,3932,3945,3893,3942,3921,53,104,4.08
06-Feb-20,FUTENR,BRCRUDE,28-02-2020,4016,4024,3890,3926,3975,67,149,5.87
05-Feb-20,FUTENR,BRCRUDE,28-02-2020,3900,4012,3871,4004,3963,40,160,6.33
04-Feb-20,FUTENR,BRCRUDE,28-02-2020,3903,3965,3903,3905,3950,20,131,5.14
30-Jan-20,FUTENR,BRCRUDE,31-01-2020,4236,4236,4201,4204,4181,5,13,0.55
30-Jan-20,FUTENR,BRCRUDE,28-02-2020,4170,4176,4155,4155,4199,14,20,0.83
29-Jan-20,FUTENR,BRCRUDE,31-01-2020,4288,4292,4267,4267,4276,5,7,0.3
28-Jan-20,FUTENR,BRCRUDE,31-01-2020,4232,4275,4181,4275,4212,0,30,1.27
27-Jan-20,FUTENR,BRCRUDE,31-01-2020,4201,4262,4197,4258,4210,1,12,0.51
24-Jan-20,FUTENR,BRCRUDE,31-01-2020,4442,4442,4359,4359,4415,5,19,0.83
23-Jan-20,FUTENR,BRCRUDE,31-01-2020,4444,4446,4436,4436,4457,4,3,0.13
22-Jan-20,FUTENR,BRCRUDE,31-01-2020,4573,4585,4495,4498,4586,3,26,1.19
21-Jan-20,FUTENR,BRCRUDE,31-01-2020,4593,4593,4574,4577,4590,1,14,0.64
20-Jan-20,FUTENR,BRCRUDE,31-01-2020,4671,4671,4639,4639,4647,3,5,0.23
17-Jan-20,FUTENR,BRCRUDE,31-01-2020,4592,4635,4592,4634,4631,0,6,0.28
16-Jan-20,FUTENR,BRCRUDE,31-01-2020,4575,4577,4566,4566,4567,0,8,0.37
15-Jan-20,FUTENR,BRCRUDE,31-01-2020,4558,4559,4555,4555,4587,2,9,0.41
14-Jan-20,FUTENR,BRCRUDE,31-01-2020,4553,4592,4540,4585,4603,1,13,0.59
13-Jan-20,FUTENR,BRCRUDE,31-01-2020,4605,4605,4554,4554,4616,2,4,0.18
10-Jan-20,FUTENR,BRCRUDE,31-01-2020,4639,4660,4619,4634,4674,2,12,0.56
09-Jan-20,FUTENR,BRCRUDE,31-01-2020,4671,4677,4659,4661,4706,2,21,0.98
08-Jan-20,FUTENR,BRCRUDE,31-01-2020,4936,4936,4738,4738,4961,1,4,0.19
07-Jan-20,FUTENR,BRCRUDE,31-01-2020,4917,4934,4895,4895,4933,3,14,0.69
06-Jan-20,FUTENR,BRCRUDE,31-01-2020,5065,5065,5014,5014,5036,1,12,0.6
03-Jan-20,FUTENR,BRCRUDE,31-01-2020,4891,4891,4890,4890,4970,5,2,0.1
02-Jan-20,FUTENR,BRCRUDE,31-01-2020,4738,4738,4734,4736,4760,3,9,0.43
31-Dec-19,FUTENR,BRCRUDE,31-01-2020,4751,4764,4751,4764,4898,2,2,0.1
30-Dec-19,FUTENR,BRCRUDE,30-12-2019,4867,4910,4867,4910,4874,2,7,0.34
27-Dec-19,FUTENR,BRCRUDE,30-12-2019,4856,4863,4856,4863,4856,3,9,0.44
26-Dec-19,FUTENR,BRCRUDE,30-12-2019,4802,4802,4802,4802,4719,3,1,0.05
24-Dec-19,FUTENR,BRCRUDE,30-12-2019,4731,4731,4728,4728,4721,4,4,0.19
23-Dec-19,FUTENR,BRCRUDE,30-12-2019,4683,4712,4681,4710,4718,4,6,0.28
20-Dec-19,FUTENR,BRCRUDE,30-12-2019,4731,4736,4710,4720,4736,5,11,0.52
19-Dec-19,FUTENR,BRCRUDE,30-12-2019,4690,4707,4690,4706,4723,5,11,0.52
18-Dec-19,FUTENR,BRCRUDE,30-12-2019,4677,4677,4664,4673,4694,5,8,0.37
17-Dec-19,FUTENR,BRCRUDE,30-12-2019,4632,4636,4632,4636,4668,4,2,0.09
16-Dec-19,FUTENR,BRCRUDE,30-12-2019,4637,4637,4637,4637,4655,4,1,0.05
13-Dec-19,FUTENR,BRCRUDE,30-12-2019,4562,4614,4562,4576,4618,5,8,0.37
12-Dec-19,FUTENR,BRCRUDE,30-12-2019,4517,4517,4517,4517,4566,1,1,0.05
10-Dec-19,FUTENR,BRCRUDE,30-12-2019,4530,4530,4530,4530,4564,2,1,0.05
09-Dec-19,FUTENR,BRCRUDE,30-12-2019,4562,4565,4552,4565,4559,1,8,0.36
06-Dec-19,FUTENR,BRCRUDE,30-12-2019,4501,4583,4500,4583,4541,1,12,0.54
05-Dec-19,FUTENR,BRCRUDE,30-12-2019,4533,4533,4533,4533,4561,3,1,0.05
03-Dec-19,FUTENR,BRCRUDE,30-12-2019,4380,4380,4380,4380,4382,4,1,0.04
02-Dec-19,FUTENR,BRCRUDE,30-12-2019,4446,4450,4379,4379,4469,3,4,0.18
29-Nov-19,FUTENR,BRCRUDE,30-12-2019,4522,4532,4510,4512,4571,3,9,0.41
28-Nov-19,FUTENR,BRCRUDE,29-11-2019,4561,4577,4533,4533,4557,7,7,0.32
26-Nov-19,FUTENR,BRCRUDE,29-11-2019,4565,4565,4557,4564,4574,7,4,0.18
25-Nov-19,FUTENR,BRCRUDE,29-11-2019,4560,4560,4559,4559,4548,7,2,0.09
22-Nov-19,FUTENR,BRCRUDE,29-11-2019,4578,4580,4578,4580,4606,7,2,0.09
20-Nov-19,FUTENR,BRCRUDE,29-11-2019,4406,4406,4406,4406,4390,8,10,0.44
19-Nov-19,FUTENR,BRCRUDE,29-11-2019,4475,4485,4417,4417,4459,18,47,2.09
18-Nov-19,FUTENR,BRCRUDE,29-11-2019,4494,4495,4493,4495,4548,18,20,0.9
15-Nov-19,FUTENR,BRCRUDE,29-11-2019,4486,4492,4479,4479,4459,10,22,0.99
14-Nov-19,FUTENR,BRCRUDE,29-11-2019,4527,4527,4527,4527,4558,20,2,0.09
13-Nov-19,FUTENR,BRCRUDE,29-11-2019,4434,4462,4434,4448,4403,20,54,2.4
08-Nov-19,FUTENR,BRCRUDE,29-11-2019,4384,4384,4384,4384,4392,30,10,0.44
06-Nov-19,FUTENR,BRCRUDE,29-11-2019,4477,4477,4477,4477,4466,40,10,0.45
05-Nov-19,FUTENR,BRCRUDE,29-11-2019,4400,4400,4387,4387,4462,30,2,0.09
04-Nov-19,FUTENR,BRCRUDE,29-11-2019,4421,4429,4421,4426,4440,30,36,1.59
31-Oct-19,FUTENR,BRCRUDE,31-10-2019,4313,4321,4313,4321,4261,5,3,0.13
30-Oct-19,FUTENR,BRCRUDE,31-10-2019,4361,4361,4350,4350,4378,5,40,1.74
25-Oct-19,FUTENR,BRCRUDE,31-10-2019,4355,4357,4355,4357,4379,20,2,0.09
24-Oct-19,FUTENR,BRCRUDE,31-10-2019,4306,4349,4304,4340,4339,20,29,1.26
23-Oct-19,FUTENR,BRCRUDE,31-10-2019,4213,4213,4212,4212,4209,3,2,0.08
22-Oct-19,FUTENR,BRCRUDE,31-10-2019,4199,4199,4196,4196,4208,3,2,0.08
17-Oct-19,FUTENR,BRCRUDE,31-10-2019,4209,4209,4180,4192,4231,3,4,0.17
16-Oct-19,FUTENR,BRCRUDE,31-10-2019,4200,4219,4200,4219,4204,3,6,0.25
15-Oct-19,FUTENR,BRCRUDE,31-10-2019,4206,4207,4205,4206,4190,3,31,1.3
10-Oct-19,FUTENR,BRCRUDE,31-10-2019,4138,4138,4138,4138,4152,30,1,0.04
09-Oct-19,FUTENR,BRCRUDE,31-10-2019,4192,4214,4192,4214,4196,31,31,1.3
30-Sep-19,FUTENR,BRCRUDE,30-09-2019,4306,4345,4306,4331,4293,46,36,1.56
27-Sep-19,FUTENR,BRCRUDE,30-09-2019,4406,4406,4328,4334,4416,12,4,0.17
26-Sep-19,FUTENR,BRCRUDE,30-09-2019,4407,4408,4407,4408,4439,10,2,0.09
25-Sep-19,FUTENR,BRCRUDE,30-09-2019,4406,4408,4376,4376,4419,10,10,0.44
24-Sep-19,FUTENR,BRCRUDE,30-09-2019,4549,4549,4520,4520,4548,10,5,0.23
20-Sep-19,FUTENR,BRCRUDE,30-09-2019,4609,4609,4609,4609,4617,10,1,0.05
19-Sep-19,FUTENR,BRCRUDE,30-09-2019,4536,4663,4536,4636,4619,10,7,0.32
18-Sep-19,FUTENR,BRCRUDE,30-09-2019,4604,4605,4520,4554,4896,10,18,0.82
17-Sep-19,FUTENR,BRCRUDE,30-09-2019,4912,4945,4611,4678,4926,10,32,1.54
16-Sep-19,FUTENR,BRCRUDE,30-09-2019,4736,4792,4647,4745,4757,5,131,6.21
13-Sep-19,FUTENR,BRCRUDE,30-09-2019,4278,4278,4278,4278,4293,98,1,0.04
12-Sep-19,FUTENR,BRCRUDE,30-09-2019,4374,4374,4325,4325,4337,98,35,1.52
11-Sep-19,FUTENR,BRCRUDE,30-09-2019,4507,4523,4348,4360,4542,130,16,0.71
10-Sep-19,FUTENR,BRCRUDE,30-09-2019,4568,4571,4568,4571,4529,131,2,0.09
09-Sep-19,FUTENR,BRCRUDE,30-09-2019,4463,4512,4425,4512,4458,130,36,1.6
06-Sep-19,FUTENR,BRCRUDE,30-09-2019,4396,4397,4271,4294,4355,133,97,4.22
05-Sep-19,FUTENR,BRCRUDE,30-09-2019,4361,4451,4349,4404,4411,196,121,5.29
04-Sep-19,FUTENR,BRCRUDE,30-09-2019,4221,4320,4220,4318,4254,300,44,1.9
02-Sep-19,FUTENR,BRCRUDE,30-09-2019,4280,4284,4244,4252,4256,258,35,1.49
30-Aug-19,FUTENR,BRCRUDE,30-08-2019,4344,4361,4250,4286,4333,248,109,4.71
30-Aug-19,FUTENR,BRCRUDE,30-09-2019,4340,4340,4258,4262,4393,231,7,0.3
29-Aug-19,FUTENR,BRCRUDE,30-08-2019,4319,4342,4311,4339,4355,156,154,6.66
29-Aug-19,FUTENR,BRCRUDE,30-09-2019,4337,4344,4332,4334,4377,231,81,3.51
28-Aug-19,FUTENR,BRCRUDE,30-08-2019,4285,4357,4285,4338,4319,18,54,2.34
28-Aug-19,FUTENR,BRCRUDE,30-09-2019,4288,4360,4288,4360,4340,156,11,0.47
27-Aug-19,FUTENR,BRCRUDE,30-09-2019,4235,4235,4235,4235,4278,156,2,0.08
26-Aug-19,FUTENR,BRCRUDE,30-08-2019,4230,4231,4230,4231,4266,18,2,0.08
26-Aug-19,FUTENR,BRCRUDE,30-09-2019,4226,4313,4226,4253,4287,156,46,1.96
23-Aug-19,FUTENR,BRCRUDE,30-08-2019,4272,4280,4188,4244,4297,18,23,0.97
23-Aug-19,FUTENR,BRCRUDE,30-09-2019,4207,4250,4207,4250,4319,116,2,0.08
22-Aug-19,FUTENR,BRCRUDE,30-08-2019,4359,4359,4350,4350,4358,15,4,0.17
22-Aug-19,FUTENR,BRCRUDE,30-09-2019,4320,4363,4320,4363,4380,116,3,0.13
21-Aug-19,FUTENR,BRCRUDE,30-08-2019,4358,4379,4316,4316,4368,15,32,1.39
21-Aug-19,FUTENR,BRCRUDE,30-09-2019,4355,4355,4355,4355,4389,116,1,0.04
20-Aug-19,FUTENR,BRCRUDE,30-08-2019,4266,4274,4230,4231,4289,26,45,1.91
20-Aug-19,FUTENR,BRCRUDE,30-09-2019,4289,4292,4245,4277,4311,116,116,4.95
19-Aug-19,FUTENR,BRCRUDE,30-08-2019,4211,4214,4209,4210,4226,26,50,2.11
16-Aug-19,FUTENR,BRCRUDE,30-08-2019,4212,4218,4157,4157,4225,76,10,0.42
14-Aug-19,FUTENR,BRCRUDE,30-08-2019,4310,4340,4305,4305,4255,76,34,1.47
13-Aug-19,FUTENR,BRCRUDE,30-08-2019,4160,4215,4148,4215,4179,103,63,2.62
09-Aug-19,FUTENR,BRCRUDE,30-08-2019,4046,4162,4046,4162,4109,133,6,0.24
08-Aug-19,FUTENR,BRCRUDE,30-08-2019,4120,4122,4030,4082,4069,132,20,0.81
07-Aug-19,FUTENR,BRCRUDE,30-08-2019,4180,4193,4080,4096,4185,132,169,7.03
06-Aug-19,FUTENR,BRCRUDE,30-08-2019,4267,4288,4264,4288,4261,0,6,0.26
05-Aug-19,FUTENR,BRCRUDE,30-08-2019,4313,4315,4312,4315,4331,0,6,0.26
02-Aug-19,FUTENR,BRCRUDE,30-08-2019,4300,4376,4300,4373,4305,0,14,0.61
01-Aug-19,FUTENR,BRCRUDE,30-08-2019,4466,4466,4406,4413,4476,0,34,1.51
31-Jul-19,FUTENR,BRCRUDE,31-07-2019,4500,4500,4492,4499,4490,84,110,4.95
31-Jul-19,FUTENR,BRCRUDE,30-08-2019,4498,4501,4497,4498,4515,0,12,0.54
30-Jul-19,FUTENR,BRCRUDE,31-07-2019,4404,4404,4404,4404,4428,190,1,0.04
30-Jul-19,FUTENR,BRCRUDE,30-08-2019,4413,4413,4413,4413,4450,0,1,0.04
29-Jul-19,FUTENR,BRCRUDE,30-08-2019,4369,4369,4366,4368,4390,1,3,0.13
26-Jul-19,FUTENR,BRCRUDE,31-07-2019,4400,4400,4397,4397,4408,190,4,0.18
25-Jul-19,FUTENR,BRCRUDE,31-07-2019,4377,4411,4374,4411,4407,190,5,0.22
24-Jul-19,FUTENR,BRCRUDE,31-07-2019,4420,4420,4418,4418,4357,190,2,0.09
23-Jul-19,FUTENR,BRCRUDE,31-07-2019,4358,4364,4330,4350,4356,190,156,6.79
22-Jul-19,FUTENR,BRCRUDE,31-07-2019,4365,4407,4364,4402,4395,40,43,1.89
19-Jul-19,FUTENR,BRCRUDE,31-07-2019,4330,4330,4285,4285,4346,9,41,1.77
18-Jul-19,FUTENR,BRCRUDE,31-07-2019,4397,4430,4376,4376,4427,38,12,0.53
17-Jul-19,FUTENR,BRCRUDE,31-07-2019,4444,4470,4444,4469,4481,38,7,0.31
16-Jul-19,FUTENR,BRCRUDE,31-07-2019,4576,4576,4457,4459,4459,35,14,0.63
12-Jul-19,FUTENR,BRCRUDE,31-07-2019,4597,4598,4591,4598,4616,32,20,0.92
10-Jul-19,FUTENR,BRCRUDE,31-07-2019,4457,4516,4457,4514,4508,32,4,0.18
09-Jul-19,FUTENR,BRCRUDE,31-07-2019,4412,4420,4412,4420,4454,32,2,0.09
08-Jul-19,FUTENR,BRCRUDE,31-07-2019,4457,4457,4430,4435,4440,33,19,0.84
02-Jul-19,FUTENR,BRCRUDE,31-07-2019,4536,4536,4531,4531,4503,20,2,0.09
01-Jul-19,FUTENR,BRCRUDE,31-07-2019,4590,4618,4583,4616,4612,20,8,0.37
28-Jun-19,FUTENR,BRCRUDE,28-06-2019,4521,4552,4521,4552,4582,20,106,4.81
28-Jun-19,FUTENR,BRCRUDE,31-07-2019,4523,4523,4522,4522,4623,20,2,0.09
27-Jun-19,FUTENR,BRCRUDE,28-06-2019,4613,4613,4579,4599,4566,77,5,0.23
27-Jun-19,FUTENR,BRCRUDE,31-07-2019,4567,4614,4482,4482,4592,18,25,1.14
26-Jun-19,FUTENR,BRCRUDE,28-06-2019,4615,4615,4570,4570,4576,74,14,0.64
25-Jun-19,FUTENR,BRCRUDE,28-06-2019,4519,4528,4516,4528,4489,64,16,0.72
20-Jun-19,FUTENR,BRCRUDE,28-06-2019,4423,4439,4419,4439,4433,54,25,1.11
19-Jun-19,FUTENR,BRCRUDE,28-06-2019,4351,4351,4330,4339,4322,34,6,0.26
18-Jun-19,FUTENR,BRCRUDE,28-06-2019,4246,4297,4240,4297,4246,34,10,0.43
17-Jun-19,FUTENR,BRCRUDE,28-06-2019,4375,4375,4307,4325,4319,34,59,2.56
14-Jun-19,FUTENR,BRCRUDE,28-06-2019,4319,4319,4260,4260,4276,3,4,0.17
13-Jun-19,FUTENR,BRCRUDE,28-06-2019,4184,4374,4183,4372,4332,3,16,0.68
12-Jun-19,FUTENR,BRCRUDE,28-06-2019,4293,4293,4209,4244,4233,3,12,0.51
11-Jun-19,FUTENR,BRCRUDE,28-06-2019,4350,4382,4350,4382,4350,3,22,0.96
07-Jun-19,FUTENR,BRCRUDE,28-06-2019,4393,4393,4393,4393,4366,3,2,0.09
03-Jun-19,FUTENR,BRCRUDE,28-06-2019,4349,4349,4292,4292,4381,1,9,0.39
30-May-19,FUTENR,BRCRUDE,28-06-2019,4838,4839,4758,4758,4866,0,18,0.87
24-May-19,FUTENR,BRCRUDE,31-05-2019,4770,4770,4755,4764,4792,20,6,0.29
22-May-19,FUTENR,BRCRUDE,31-05-2019,4995,5005,4904,4921,5010,24,30,1.49
21-May-19,FUTENR,BRCRUDE,31-05-2019,5067,5074,5003,5032,5030,18,36,1.81
17-May-19,FUTENR,BRCRUDE,31-05-2019,5113,5138,5107,5115,5141,16,40,2.05
16-May-19,FUTENR,BRCRUDE,31-05-2019,5049,5130,5049,5130,5107,36,25,1.27
15-May-19,FUTENR,BRCRUDE,31-05-2019,4982,5060,4981,5060,5004,16,5,0.25
14-May-19,FUTENR,BRCRUDE,31-05-2019,4942,5026,4942,5026,4990,13,6,0.3
13-May-19,FUTENR,BRCRUDE,31-05-2019,5036,5114,5036,5114,5069,9,14,0.71
10-May-19,FUTENR,BRCRUDE,31-05-2019,4932,4965,4932,4962,4983,8,11,0.54
09-May-19,FUTENR,BRCRUDE,31-05-2019,4883,4932,4883,4929,4943,11,14,0.69
07-May-19,FUTENR,BRCRUDE,31-05-2019,4929,4929,4927,4929,4916,5,20,0.99
06-May-19,FUTENR,BRCRUDE,31-05-2019,4847,4850,4847,4850,4899,23,3,0.15
02-May-19,FUTENR,BRCRUDE,31-05-2019,4973,4973,4945,4952,5002,20,10,0.5
01-May-19,FUTENR,BRCRUDE,31-05-2019,5033,5033,5006,5006,5066,20,2,0.1
30-Apr-19,FUTENR,BRCRUDE,30-04-2019,5090,5090,5039,5039,5083,47,10,0.51
30-Apr-19,FUTENR,BRCRUDE,31-05-2019,5027,5112,5026,5112,5123,20,17,0.86
26-Apr-19,FUTENR,BRCRUDE,30-04-2019,5203,5207,5124,5124,5142,47,49,2.54
25-Apr-19,FUTENR,BRCRUDE,30-04-2019,5216,5295,5215,5270,5275,57,40,2.11
25-Apr-19,FUTENR,BRCRUDE,31-05-2019,5305,5305,5292,5294,5306,20,20,1.06
24-Apr-19,FUTENR,BRCRUDE,30-04-2019,5174,5216,5173,5216,5209,47,12,0.62
23-Apr-19,FUTENR,BRCRUDE,30-04-2019,5176,5176,5162,5162,5207,37,4,0.21
22-Apr-19,FUTENR,BRCRUDE,30-04-2019,5137,5148,5122,5148,5002,33,9,0.46
18-Apr-19,FUTENR,BRCRUDE,30-04-2019,4965,4984,4957,4982,4995,30,19,0.94
17-Apr-19,FUTENR,BRCRUDE,30-04-2019,4979,4983,4969,4983,5038,28,4,0.2
16-Apr-19,FUTENR,BRCRUDE,30-04-2019,4932,4966,4924,4966,4969,25,22,1.09
15-Apr-19,FUTENR,BRCRUDE,30-04-2019,4946,4950,4933,4933,4938,25,15,0.74
12-Apr-19,FUTENR,BRCRUDE,30-04-2019,4933,4960,4924,4960,4990,29,6,0.3
11-Apr-19,FUTENR,BRCRUDE,30-04-2019,4933,4935,4912,4913,4939,33,15,0.74
10-Apr-19,FUTENR,BRCRUDE,30-04-2019,4917,4954,4917,4954,4937,28,3,0.15
09-Apr-19,FUTENR,BRCRUDE,30-04-2019,4963,4966,4896,4901,4975,28,19,0.94
08-Apr-19,FUTENR,BRCRUDE,30-04-2019,4916,4940,4907,4907,4947,25,9,0.44
05-Apr-19,FUTENR,BRCRUDE,30-04-2019,4802,4802,4782,4794,4820,27,11,0.53
04-Apr-19,FUTENR,BRCRUDE,30-04-2019,4767,4822,4767,4798,4800,26,23,1.1
03-Apr-19,FUTENR,BRCRUDE,30-04-2019,4807,4813,4732,4732,4808,26,21,1.01
02-Apr-19,FUTENR,BRCRUDE,30-04-2019,4809,4809,4751,4799,4824,22,15,0.72
